"","total_CDS","total_duration_hrs","total_AWC","AWC_hr","CDS_hr"
"1",2244,3.08283333333333,2599,843.055630642807,727.901821917068
"2",1400,7.62833333333333,1793,235.044789163207,183.526327288617
"3",11121.5,13.168,11590,880.164034021871,844.585358444714
"4",2451,4.22916666666667,6531,1544.27586206897,579.546798029557
"5",12518,12.0375,17148,1424.54828660436,1039.91692627207
"6",3437.5,10.635,16111,1514.90362012224,323.225199811942
"7",10150,8.11283333333333,12995,1601.78318302278,1251.10421759763
"8",1154,6.926,3734,539.127923765521,166.618538839157
"9",5134,8.8025,8218,933.598409542744,583.243396762283
"10",1440,3.33416666666667,1459,437.590602349413,431.892026993252
"11",5551,9.16316666666667,8309,906.782589716074,605.794939886138
"12",4942.5,6.54116666666667,8247,1260.78426376538,755.599154075471
"13",6166,13.4635,13135,975.600698183979,457.978980205741
"14",3162,4.42466666666667,4228,955.552207322585,714.630103962634
"15",10917,13.0155,14688,1128.50063385963,838.769159847874
"16",280,4.16916666666667,841,201.718968618829,67.1597041774935
"17",2088.5,4.77916666666667,3802,795.536181342633,437.000871839582
"18",3353,6.28066666666667,12044,1917.63082475321,533.860524360471
"19",8573.5,9.8145,10120,1031.12741352081,873.554434764889
"20",447.5,5.78333333333333,3221,556.945244956772,77.3775216138329
"21",1908,6.61666666666667,4339,655.768261964736,288.362720403023
"22",2902,10.4286666666667,5746,550.981269577447,278.27143131113
"23",9587,8.52816666666667,24487,2871.30880025015,1124.15720455745
"24",3835,9.759,8630,884.311917204632,392.970591249103
"25",7334,7.1415,7976,1116.85220191836,1026.95512147308
"26",825,7.5575,5334,705.788951372808,109.163083030103
"27",643,4.94516666666667,2921,590.677766168987,130.025951265546
"28",8292,8.06916666666667,12788,1584.79809976247,1027.6154084478
"29",2700,6.035,6439,1066.94283347142,447.390223695112
