SubNum,FreqCDShr,FreqOH_noMedia,vocab24
5623,727.90,1.92,251
5624,198.61,0.89,116
5634,844.82,0.52,217
5793,579.55,15.94,219
5794,1039.92,5.14,179
5799,309.46,19.31,187
5808,1251.10,5.07,501
5813,166.62,5.43,296
5814,752.47,6.22,273
5816,431.89,0.00,288
5827,605.79,5.01,46
5831,943.33,10.93,506
5836,613.03,6.43,326
5853,714.63,3.98,362
5857,975.16,5.25,131
5874,67.16,1.77,219
5922,437.00,3.80,28
5969,537.04,16.88,302
5972,1217.92,3.69,333
5975,75.35,5.77,169
5976,295.95,6.99,191
6213,296.82,4.54,24
6230,1113.28,29.28,320
6231,392.97,6.88,216
6239,1026.96,1.50,211
6251,109.16,8.56,233
6275,130.03,0.23,113
6281,1027.62,8.43,559
6282,447.39,2.21,117
