,id,study,study2,language,rectime,time,dur_5min,AWC_5min,CDS_pct_of_AWC,LENA_on_child,cds_ods_coder1,cds_ods_coder2
1,5623,WF,WF,spanish,1504,19.3,4.97,75,50-70%,yes,1,1
2,5623,WF,WF,spanish,1802,19.35,5,43,70% +,yes,1,1
3,5623,WF,WF,spanish,2102,19.4,5,119,50-70%,yes,1,1
4,5623,WF,WF,spanish,2402,19.45,5,21,70% +,yes,1,1
5,5623,WF,WF,spanish,2702,19.5,5,281,< 50%,yes,0,0
6,5623,WF,WF,spanish,7802,21.15,5,109,70% +,yes,1,1
7,5623,WF,WF,spanish,8102,21.2,5,13,70% +,yes,1,1
8,5623,WF,WF,spanish,8402,21.25,5,40,70% +,no <50%,1,1
9,5623,WF,WF,spanish,8702,21.3,5,157,70% +,yes,1,1
10,5623,WF,WF,spanish,9002,21.35,5,17,70% +,yes,1,1
11,5623,WF,WF,spanish,9302,21.4,5,102,50-70%,yes,1,1
12,5623,WF,WF,spanish,9602,21.45,5,15,70% +,yes,1,1
13,5623,WF,WF,spanish,9902,21.5,5,56,70% +,yes,1,1
14,5623,WF,WF,spanish,10202,21.55,5,73,< 50%,yes,1,0
15,5623,WF,WF,spanish,10502,22,5,97,< 50%,yes,1,0
16,5624,WF,WF,spanish,7449,11.45,5,0,< 50%,yes,1,0
17,5624,WF,WF,spanish,7749,11.5,5,8,50-70%,yes,1,1
18,5624,WF,WF,spanish,8049,11.55,5,25,< 50%,yes,1,0
19,5624,WF,WF,spanish,8349,12,5,0,70% +,yes,1,1
20,5624,WF,WF,spanish,8649,12.05,5,31,70% +,yes,1,1
21,5624,WF,WF,spanish,14949,13.5,5,14,< 50%,yes,1,0
22,5624,WF,WF,spanish,15249,13.55,5,13,< 50%,yes,0,0
23,5624,WF,WF,spanish,15549,14,5,0,< 50%,yes,0,0
24,5624,WF,WF,spanish,15849,14.05,5,29,< 50%,yes,1,0
25,5624,WF,WF,spanish,16149,14.1,5,14,70% +,yes,1,1
26,5624,WF,WF,spanish,23649,16.15,5,3,70% +,yes,1,1
27,5624,WF,WF,spanish,23949,16.2,5,36,70% +,yes,split,1
28,5624,WF,WF,spanish,24249,16.25,5,4,70% +,yes,1,1
29,5624,WF,WF,spanish,24549,16.3,5,21,70% +,yes,0,1
30,5624,WF,WF,spanish,24849,16.35,5,14,70% +,yes,1,1
31,5857,WF,WF,spanish,7247,11.55,5,11,70% +,yes,1,1
32,5857,WF,WF,spanish,7547,12,5,35,70% +,yes,1,1
33,5857,WF,WF,spanish,7847,12.05,5,22,< 50%,yes,0,0
34,5857,WF,WF,spanish,8147,12.1,5,50,70% +,yes,1,1
35,5857,WF,WF,spanish,8447,12.15,5,37,70% +,yes,1,1
36,5857,WF,WF,spanish,27947,17.4,5,0,true 0,yes,1,0
37,5857,WF,WF,spanish,28247,17.45,5,60,< 50%,yes,1,0
38,5857,WF,WF,spanish,28547,17.5,5,143,50-70%,yes,split,1
