"id","months_age","sex","time","dur_min","meaningful_min","distant_min","tv_min","noise_min","silence_min","AWC","CTC","CVC","cds_ohs","mom_ed","fat_ed","hi"
20001,19,1,15.1,2.516666667,"0.23","0.78","0","0","1.47",29,0,8,"1",11,NA,14
20001,19,1,15.15,5,"0.57","1.77","0","0.03","2.58",73,4,31,"1",11,NA,14
20001,19,1,15.2,5,"1.6","1.02","0","0.07","2.27",108,12,61,"1",11,NA,14
20001,19,1,15.25,5,"1.98","0.63","0","0.03","2.33",81,8,26,"1",11,NA,14
20001,19,1,15.3,5,"1.85","1.08","0.1","0.4","1.52",100,6,36,"1",11,NA,14
20001,19,1,15.35,5,"1.8","1.02","0.07","0.33","1.75",146,11,37,"1",11,NA,14
20001,19,1,15.4,5,"2.02","1.08","0.55","0.02","1.28",42,4,32,"1",11,NA,14
20001,19,1,15.45,5,"0.72","0.57","2.78","0","0.9",24,1,15,"0",11,NA,14
20001,19,1,15.5,5,"1.23","1.62","0.2","0.02","1.88",112,7,41,"0",11,NA,14
20001,19,1,15.55,5,"1.1","1.52","0.5","0.02","1.82",66,6,31,"1",11,NA,14
20001,19,1,16,5,"2.87","0.72","0.1","0.02","1.25",414,40,70,"1",11,NA,14
20001,19,1,16.05,5,"2.27","0.83","0.03","0.08","1.73",263,27,67,"1",11,NA,14
20001,19,1,16.1,5,"2.37","1.45","0","0.03","1.1",451,18,28,"0",11,NA,14
20001,19,1,16.15,5,"2.35","1.05","0.1","0.03","1.45",504,7,12,"0",11,NA,14
20001,19,1,16.2,5,"1.88","1.13","0.02","0.05","1.88",233,13,50,"0",11,NA,14
20001,19,1,16.25,5,"1.43","0.95","0","0","2.6",159,8,28,"1",11,NA,14
20001,19,1,16.3,5,"2.73","1.6","0.02","0.02","0.6",185,12,57,"split",11,NA,14
20001,19,1,16.35,5,"1.83","2.07","0.07","0","1",118,6,30,"1",11,NA,14
20001,19,1,16.4,5,"2.33","0.87","0.12","0","1.63",173,4,27,"0",11,NA,14
20001,19,1,16.45,5,"2.05","1.3","0.08","0","1.53",147,4,14,"1",11,NA,14
20001,19,1,16.5,5,"1.32","0.77","1.12","0","1.75",8,2,28,"1",11,NA,14
20001,19,1,16.55,5,"0.43","1.05","1.68","0.07","1.73",50,3,10,"0",11,NA,14
20001,19,1,17,5,"0.37","1.35","2.02","0","1.22",10,1,16,"1",11,NA,14
20001,19,1,17.05,5,"0.87","1.6","0.53","0.07","1.9",199,1,1,"0",11,NA,14
20001,19,1,17.1,5,"0.6","0.95","0.77","0.02","2.62",45,1,19,"1",11,NA,14
20001,19,1,17.15,5,"1.17","1.52","0.45","0.07","1.77",74,4,34,"0",11,NA,14
20001,19,1,17.2,5,"1.63","1.73","0.27","0.15","1.17",148,8,46,"0",11,NA,14
20001,19,1,17.25,5,"1.27","0.82","1.12","0","1.77",78,6,33,"0",11,NA,14
20001,19,1,17.3,5,"0.37","0.28","1.33","0.07","2.92",18,2,7,"0",11,NA,14
20001,19,1,17.35,5,"2.35","1.05","0.3","0.07","1.18",112,13,75,"1",11,NA,14
20001,19,1,17.4,5,"2.08","1.1","0.12","0.03","1.62",105,12,61,"1",11,NA,14
20001,19,1,17.45,5,"1.02","2.58","0.03","0.02","1.3",50,1,6,"1",11,NA,14
20001,19,1,17.5,5,"1","1.58","0.02","0.05","2.32",45,3,35,"1",11,NA,14
20001,19,1,17.55,5,"2.45","1.23","0.02","0.05","1.2",155,20,67,"1",11,NA,14
20001,19,1,18.05,5,"1.27","1.08","0.92","0","1.7",96,9,28,"1",11,NA,14
20001,19,1,18.1,5,"0.72","1.73","0.38","0","2.13",95,4,14,"1",11,NA,14
20001,19,1,18.15,5,"1.58","2.23","0.03","0","1.13",140,11,47,"split",11,NA,14
20001,19,1,18.2,5,"1.65","2.55","0.03","0.13","0.6",293,9,19,"split",11,NA,14
20001,19,1,18.25,5,"1.95","2.63","0.05","0.05","0.3",399,7,12,"0",11,NA,14
20001,19,1,18.3,5,"1.43","3.1","0.02","0.02","0.4",222,11,25,"0",11,NA,14
