id,months_age,sex,time,hour,minutes,minutes_prop,time2,dur_min,Sleep,meaningful_min,distant_min,tv_min,noise_min,silence_min,AWC,CTC,CVC,cds_ohs,mom_ed
5623,18,F,19.3,19,30,0.5,19.5,4.97,0,0.47,4.25,0.02,0.03,0.15,75,0,3,1,10
5623,18,F,19.35,19,35,0.583333333,19.58333333,5,0,0.35,4.55,0,0,0.07,43,2,4,1,10
5623,18,F,19.4,19,40,0.666666667,19.66666667,5,0,0.58,4.32,0,0,0.08,119,1,6,1,10
5623,18,F,19.45,19,45,0.75,19.75,5,0,0.32,2.88,0,0,1.78,21,0,5,1,10
5623,18,F,19.5,19,50,0.833333333,19.83333333,5,0,1.27,3.35,0.02,0.08,0.25,281,5,10,0,10
5623,18,F,19.55,19,55,0.916666667,19.91666667,5,0,0.47,4.03,0,0.02,0.45,66,1,7,0,10
5623,18,F,20,20,0,0,20,5,0,0.4,4.23,0.05,0.05,0.22,8,0,6,0,10
5623,18,F,20.05,20,5,0.083333333,20.08333333,5,0,0.5,3.4,0,0.02,1.07,19,0,9,1,10
5623,18,F,20.1,20,10,0.166666667,20.16666667,5,0,0.5,3.83,0,0.08,0.55,71,4,6,1,10
5623,18,F,20.15,20,15,0.25,20.25,5,0,0.73,3.38,0.02,0,0.85,74,3,11,1,10
5623,18,F,20.2,20,20,0.333333333,20.33333333,5,0,0.63,3.92,0,0.07,0.35,57,2,7,1,10
5623,18,F,20.25,20,25,0.416666667,20.41666667,5,0,0.7,3.55,0,0.07,0.63,63,2,8,1,10
5623,18,F,20.3,20,30,0.5,20.5,5,0,0.78,4.05,0,0,0.12,111,0,1,1,10
5623,18,F,20.35,20,35,0.583333333,20.58333333,5,0,0.93,4.05,0,0,0,137,0,0,1,10
5623,18,F,20.4,20,40,0.666666667,20.66666667,5,0,0.37,4.62,0,0,0,40,0,2,1,10
5623,18,F,20.45,20,45,0.75,20.75,5,0,0.42,4.38,0,0.05,0.12,79,0,7,1,10
5623,18,F,20.5,20,50,0.833333333,20.83333333,5,0,0.97,3.77,0,0,0.23,41,0,10,1,10
5623,18,F,20.55,20,55,0.916666667,20.91666667,5,0,0.97,3.53,0.02,0.03,0.4,164,5,10,1,10
