"","id","months_age","time","dur_5min","AWC_5min","CTC_5min","CVC_5min","cds_ods_coder1","study","language"
"1",5623,"18",19.3,4.97,75,0,3,"1","WF","spanish"
"2",5623,"18",19.35,5,43,2,4,"1","WF","spanish"
"3",5623,"18",19.4,5,119,1,6,"1","WF","spanish"
"4",5623,"18",19.45,5,21,0,5,"1","WF","spanish"
"5",5623,"18",19.5,5,281,5,10,"0","WF","spanish"
"6",5623,"18",21.15,5,109,1,2,"1","WF","spanish"
"7",5623,"18",21.2,5,13,1,6,"1","WF","spanish"
"8",5623,"18",21.25,5,40,1,5,"1","WF","spanish"
"9",5623,"18",21.3,5,157,1,2,"1","WF","spanish"
"10",5623,"18",21.35,5,17,0,7,"1","WF","spanish"
"11",5623,"18",21.4,5,102,0,2,"1","WF","spanish"
"12",5623,"18",21.45,5,15,0,14,"1","WF","spanish"
"13",5623,"18",21.5,5,56,3,16,"1","WF","spanish"
"14",5623,"18",21.55,5,73,2,8,"1","WF","spanish"
"15",5623,"18",22,5,97,2,5,"1","WF","spanish"
"16",5624,"18",11.45,5,0,0,5,"1","WF","spanish"
"17",5624,"18",11.5,5,8,0,1,"1","WF","spanish"
"18",5624,"18",11.55,5,25,0,0,"1","WF","spanish"
"19",5624,"18",12,5,0,0,3,"1","WF","spanish"
"20",5624,"18",12.05,5,31,1,7,"1","WF","spanish"
"21",5624,"18",13.5,5,14,0,14,"1","WF","spanish"
"22",5624,"18",13.55,5,13,0,7,"0","WF","spanish"
"23",5624,"18",14,5,0,0,9,"0","WF","spanish"
"24",5624,"18",14.05,5,29,0,15,"1","WF","spanish"
"25",5624,"18",14.1,5,14,2,13,"1","WF","spanish"
"26",5624,"18",16.15,5,3,0,9,"1","WF","spanish"
"27",5624,"18",16.2,5,36,0,9,"split","WF","spanish"
"28",5624,"18",16.25,5,4,0,8,"1","WF","spanish"
"29",5624,"18",16.3,5,21,0,6,"0","WF","spanish"
"30",5624,"18",16.35,5,14,0,1,"1","WF","spanish"
"31",5857,"20",11.55,5,11,1,14,"1","WF","spanish"
"32",5857,"20",12,5,35,3,14,"1","WF","spanish"
"33",5857,"20",12.05,5,22,0,19,"0","WF","spanish"
"34",5857,"20",12.1,5,50,0,10,"1","WF","spanish"
"35",5857,"20",12.15,5,37,2,25,"1","WF","spanish"
"36",5857,"20",17.4,5,0,0,22,"1","WF","spanish"
"37",5857,"20",17.45,5,60,2,21,"1","WF","spanish"
